sim_time_sec,commanded_effort_Nm,joint_position_rad,joint_velocity_rad_per_sec
1748403549.3452308,200.0,1.5707963268743554,2.6232835348416472e-11
1748403549.3655753,200.0,1.5707963268748795,2.6232835348416472e-11
1748403549.3855782,200.0,1.5707963268754035,2.6232845756757328e-11
1748403549.405525,200.0,1.5707963268759275,2.6232845756757328e-11
1748403549.4255266,200.0,1.5707963268764515,2.6232835348416472e-11
1748403549.4453595,200.0,1.5707963268769756,2.6232838817863424e-11
1748403549.465473,200.0,1.5707963268774996,2.6232824940075616e-11
1748403549.4858422,200.0,1.5707963268780236,2.6232835348416472e-11
1748403549.5054705,200.0,1.5707963268785476,2.6232838817863424e-11
1748403549.5276194,200.0,1.5707963268790717,2.6232828409522568e-11
1748403549.5453832,0.0,1.5707963268795957,2.6232838817863424e-11
1748403549.5654476,0.0,1.5707963268801197,2.6232835348416472e-11
1748403549.5852044,0.0,1.5707963268803062,9.425594607084698e-12
1748403549.6054683,0.0,1.5707963268804928,9.425593790719122e-12
1748403549.6252935,0.0,1.5707963268806793,9.425595050756245e-12
1748403549.6450288,0.0,1.5707963268808658,9.425597139778238e-12
1748403549.6651773,0.0,1.5707963268810523,9.425599450323563e-12
1748403549.6853373,0.0,1.5707963268812388,9.42560693956877e-12
1748403549.7053804,0.0,1.5707963268814253,9.425600041677312e-12
1748403549.7253351,0.0,1.5707963268816119,9.425592700739225e-12
1748403549.7451599,0.0,1.5707963268817984,9.425592639517423e-12
1748403549.7653968,0.0,1.570796326881985,9.425600325672251e-12
1748403549.7852144,0.0,1.5707963268821714,9.425598606480694e-12
1748403549.8061702,0.0,1.570796326882358,9.425596813448029e-12
1748403549.8256423,0.0,1.570796326882358,9.425596813448029e-12
1748403549.8455355,0.0,1.5707963268825444,9.425597876575531e-12
1748403549.8654883,0.0,1.570796326882731,9.425594614601728e-12
1748403549.885259,0.0,1.5707963268829175,9.425597072829265e-12
1748403549.9055684,0.0,1.570796326883104,9.425607492075751e-12
1748403549.9252958,0.0,1.5707963268832905,9.425590138329716e-12
1748403549.9453351,0.0,1.570796326883477,9.425606811398e-12
1748403549.9657147,0.0,1.5707963268836636,9.425593610457349e-12
1748403549.9853947,0.0,1.57079632688385,9.425596749987551e-12
1748403550.0060306,0.0,1.5707963268840366,9.425586725185209e-12
1748403550.0254226,0.0,1.570796326884223,9.425609020000017e-12
1748403550.0453,0.0,1.5707963268844096,9.425593742656678e-12
1748403550.0651236,0.0,1.5707963268845961,9.425589602470587e-12
1748403550.0855067,0.0,1.5707963268847827,9.425600021717076e-12
1748403550.1054082,0.0,1.5707963268849692,9.425598351752917e-12
1748403550.1253939,0.0,1.5707963268851557,9.425603255588681e-12
